simulation_name,sim_type,m_value,rep_index,overall_return,commit_return,n,n_repetitions
cfr_vs_cpt,simple,,98,0.03049,,100000,100
cfr_vs_cpt,simple,,99,0.00473,,100000,100
etc_standard,run,1000.0,0,0.0322,0.104,10000,100
etc_standard,run,1000.0,1,-0.013,0.0632222222222222,10000,100
etc_standard,run,1000.0,2,-0.0286,0.038,10000,100
etc_standard,run,1000.0,3,-0.0336,0.0464444444444444,10000,100
etc_standard,run,1000.0,4,-0.1166,-0.0423333333333333,10000,100
etc_standard,run,1000.0,5,-0.1123,-0.0591111111111111,10000,100
etc_standard,run,1000.0,6,-0.071,-0.0017777777777777,10000,100
etc_standard,run,1000.0,7,0.0575,0.1156666666666666,10000,100
etc_standard,run,1000.0,8,0.1082,0.181,10000,100
etc_standard,run,1000.0,9,0.1163,0.2006666666666666,10000,100
etc_standard,run,1000.0,10,0.1892,0.286,10000,100
etc_standard,run,1000.0,11,-0.1776,-0.1302222222222222,10000,100
etc_standard,run,1000.0,12,-0.0716,0.0242222222222222,10000,100
etc_standard,run,1000.0,13,-0.0429,0.0258888888888888,10000,100
etc_standard,run,1000.0,14,0.1145,0.1748888888888889,10000,100
etc_standard,run,1000.0,15,0.1662,0.259,10000,100
etc_standard,run,1000.0,16,-0.1058,-0.0401111111111111,10000,100
etc_standard,run,1000.0,17,0.1731,0.256,10000,100
etc_standard,run,1000.0,18,-0.1539,-0.0964444444444444,10000,100
etc_standard,run,1000.0,19,0.1162,0.2063333333333333,10000,100
etc_standard,run,1000.0,20,-0.1096,-0.08,10000,100
etc_standard,run,1000.0,21,-0.054,-0.0065555555555555,10000,100
etc_standard,run,1000.0,22,0.18,0.2915555555555555,10000,100
etc_standard,run,1000.0,23,-0.2117,-0.1792222222222222,10000,100
etc_standard,run,1000.0,24,-0.0732,-0.012,10000,100
etc_standard,run,1000.0,25,0.0126,0.1252222222222222,10000,100
etc_standard,run,1000.0,26,0.1892,0.3023333333333333,10000,100
etc_standard,run,1000.0,27,0.0622,0.119,10000,100
etc_standard,run,1000.0,28,0.0301,0.0821111111111111,10000,100
etc_standard,run,1000.0,29,0.0057,0.0715555555555555,10000,100
etc_standard,run,1000.0,30,-0.0655,0.0025555555555555,10000,100
etc_standard,run,1000.0,31,0.0313,0.0978888888888888,10000,100
etc_standard,run,1000.0,32,0.1448,0.1924444444444444,10000,100
etc_standard,run,1000.0,33,-0.0352,0.0453333333333333,10000,100
etc_standard,run,1000.0,34,0.0055,0.0836666666666666,10000,100
etc_standard,run,1000.0,35,-0.1618,-0.0918888888888889,10000,100
etc_standard,run,1000.0,36,0.0216,0.0962222222222222,10000,100
etc_standard,run,1000.0,37,-0.0581,0.0046666666666666,10000,100
etc_standard,run,1000.0,38,0.0604,0.1073333333333333,10000,100
etc_standard,run,1000.0,39,-0.0039,0.0633333333333333,10000,100
etc_standard,run,1000.0,40,0.1475,0.2348888888888889,10000,100
etc_standard,run,1000.0,41,-0.0861,-0.0218888888888888,10000,100
etc_standard,run,1000.0,42,-0.0294,0.0558888888888888,10000,100
etc_standard,run,1000.0,43,-0.1284,-0.0763333333333333,10000,100
etc_standard,run,1000.0,44,0.0324,0.1083333333333333,10000,100
etc_standard,run,1000.0,45,-0.2136,-0.1684444444444444,10000,100
etc_standard,run,1000.0,46,0.0946,0.1748888888888889,10000,100
etc_standard,run,1000.0,47,-0.2295,-0.1628888888888889,10000,100
etc_standard,run,1000.0,48,-0.3534,-0.3431111111111111,10000,100
etc_standard,run,1000.0,49,0.0738,0.1446666666666666,10000,100
etc_standard,run,1000.0,50,0.1683,0.2432222222222222,10000,100
etc_standard,run,1000.0,51,-0.1742,-0.1201111111111111,10000,100
etc_standard,run,1000.0,52,-0.0007,0.0621111111111111,10000,100
etc_standard,run,1000.0,53,-0.653,-0.652,10000,100
etc_standard,run,1000.0,54,-0.0655,-0.0136666666666666,10000,100
etc_standard,run,1000.0,55,-0.1272,-0.0554444444444444,10000,100
etc_standard,run,1000.0,56,0.1375,0.2383333333333333,10000,100
etc_standard,run,1000.0,57,-0.5247,-0.5188888888888888,10000,100
etc_standard,run,1000.0,58,0.1819,0.2298888888888889,10000,100
etc_standard,run,1000.0,59,-0.084,0.0144444444444444,10000,100
etc_standard,run,1000.0,60,-0.3574,-0.2982222222222222,10000,100
etc_standard,run,1000.0,61,0.1667,0.2861111111111111,10000,100
etc_standard,run,1000.0,62,0.1603,0.2465555555555555,10000,100
etc_standard,run,1000.0,63,-0.0511,0.009,10000,100
etc_standard,run,1000.0,64,-0.0564,0.0142222222222222,10000,100
etc_standard,run,1000.0,65,0.0732,0.1368888888888889,10000,100
etc_standard,run,1000.0,66,-0.2683,-0.2128888888888888,10000,100
etc_standard,run,1000.0,67,-0.101,-0.022,10000,100
etc_standard,run,1000.0,68,0.004,0.0702222222222222,10000,100
etc_standard,run,1000.0,69,-0.0181,0.0267777777777777,10000,100
etc_standard,run,1000.0,70,-0.2539,-0.1997777777777777,10000,100
etc_standard,run,1000.0,71,0.088,0.1727777777777777,10000,100
etc_standard,run,1000.0,72,0.0871,0.1595555555555555,10000,100
etc_standard,run,1000.0,73,0.0207,0.0764444444444444,10000,100
etc_standard,run,1000.0,74,-0.0997,-0.0301111111111111,10000,100
etc_standard,run,1000.0,75,-0.016,0.0608888888888888,10000,100
etc_standard,run,1000.0,76,-0.2028,-0.1758888888888889,10000,100
etc_standard,run,1000.0,77,-0.1327,-0.051,10000,100
etc_standard,run,1000.0,78,-0.1895,-0.1175555555555555,10000,100
etc_standard,run,1000.0,79,-0.1208,-0.0485555555555555,10000,100
etc_standard,run,1000.0,80,0.0855,0.1812222222222222,10000,100
etc_standard,run,1000.0,81,0.164,0.2413333333333333,10000,100
etc_standard,run,1000.0,82,0.1437,0.247,10000,100
etc_standard,run,1000.0,83,-0.1905,-0.1424444444444444,10000,100
etc_standard,run,1000.0,84,0.1358,0.1875555555555555,10000,100
etc_standard,run,1000.0,85,0.1549,0.2294444444444444,10000,100
etc_standard,run,1000.0,86,0.1693,0.274,10000,100
etc_standard,run,1000.0,87,0.1064,0.1686666666666666,10000,100
etc_standard,run,1000.0,88,0.1504,0.2295555555555555,10000,100
etc_standard,run,1000.0,89,-0.3001,-0.3083333333333333,10000,100
etc_standard,run,1000.0,90,0.0806,0.1318888888888889,10000,100
etc_standard,run,1000.0,91,-0.2706,-0.232,10000,100
etc_standard,run,1000.0,92,-0.0749,-0.0191111111111111,10000,100
etc_standard,run,1000.0,93,0.1698,0.2363333333333333,10000,100
etc_standard,run,1000.0,94,-0.2041,-0.1576666666666666,10000,100
etc_standard,run,1000.0,95,-0.0778,-0.0263333333333333,10000,100
etc_standard,run,1000.0,96,-0.0007,0.0764444444444444,10000,100
etc_standard,run,1000.0,97,0.2011,0.2925555555555555,10000,100
etc_standard,run,1000.0,98,0.0848,0.155,10000,100
etc_standard,run,1000.0,99,0.1107,0.185,10000,100
etc_standard,run,2000.0,0,0.1028,0.255,10000,100
etc_standard,run,2000.0,1,0.0206,0.1465,10000,100
etc_standard,run,2000.0,2,0.0891,0.23775,10000,100
etc_standard,run,2000.0,3,-0.124,-0.0135,10000,100
etc_standard,run,2000.0,4,0.0614,0.2265,10000,100
etc_standard,run,2000.0,5,0.0911,0.250625,10000,100
etc_standard,run,2000.0,6,0.0049,0.13175,10000,100
etc_standard,run,2000.0,7,-0.0363,0.141625,10000,100
etc_standard,run,2000.0,8,0.0862,0.275,10000,100
etc_standard,run,2000.0,9,-0.0971,0.02375,10000,100
etc_standard,run,2000.0,10,-0.0409,0.119875,10000,100
etc_standard,run,2000.0,11,0.1745,0.32775,10000,100
